Temps;EA1
0;9.66111344238743
1E-5;9.62122033303604
2E-5;9.60127377836034
3E-5;9.57135394634679
4E-5;9.53146083699539
5E-5;9.48159445030615
6E-5;9.42175478627905
7E-5;9.35194184491411
8E-5;9.26716898754239
9E-5;9.17740949150175
0.0001;9.07767671812326
0.00011;8.96797066740692
0.00012;8.84829133935273
0.00013;8.71863873396069
0.00014;8.5790128512308
0.00015;8.43440032983199
0.00016;8.27981453109533
0.00017;8.11525545502082
0.00018;7.94570974027738
0.00019;7.76619074819609
0.0002;7.58667175611481
0.00021;7.39717948669568
0.00022;7.19272730126977
0.00023;6.98827511584386
0.00024;6.77384965308011
0.00025;6.5494509129785
0.00026;6.33003881154582
0.00027;6.09566679410636
0.00028;5.86129477666691
0.00029;5.61694948188961
0.0003;5.3726041871123
0.00031;5.12327225366607
0.00032;4.86895368155092
0.00033;4.60964847076684
0.00034;4.34535662131384
0.00035;4.07607813319191
0.00036;3.80679964506999
0.00037;3.53752115694806
0.00038;3.25826939148828
0.00039;2.97901762602851
0.0004;2.69976586056873
0.00041;2.41552745644003
0.00042;2.13627569098026
0.00043;1.85203728685156
0.00044;1.56779888272285
0.00045;1.27857383992523
0.00046;0.994335435796529
0.00047;0.710097031667829
0.00048;0.420871988870204
0.00049;0.136633584741503
0.0005;-0.147604819387198
0.00051;-0.426856584846973
0.00052;-0.711094988975674
0.00053;-0.985360115766525
0.00054;-1.2646118812263
0.00055;-1.53887700801715
0.00056;-1.813142134808
0.00057;-2.07743398426101
0.00058;-2.34671247238293
0.00059;-2.60601768316701
0.0006;-2.86033625528216
0.00061;-3.11964146606624
0.00062;-3.36897339951247
0.00063;-3.61331869428977
0.00064;-3.84769071172923
0.00065;-4.08206272916868
0.00066;-4.31643474660814
0.00067;-4.53584684804082
0.00068;-4.76024558814242
0.00069;-4.97467105090618
0.0007;-5.18909651366994
0.00071;-5.37858878308907
0.00072;-5.57306769117713
0.00073;-5.75258668325841
0.00074;-5.93709231400862
0.00075;-6.10663802875206
0.00076;-6.27618374349549
0.00077;-6.43076954223216
0.00078;-6.58535534096882
0.00079;-6.72996786236763
0.0008;-6.86460710642859
0.00081;-6.98927307315171
0.00082;-7.1089524012059
0.00083;-7.21865845192224
0.00084;-7.32337786396965
0.00085;-7.41812399867922
0.00086;-7.50289685605094
0.00087;-7.58268307475373
0.00088;-7.64750937744975
0.00089;-7.71233568014577
0.0009;-7.76220206683502
0.00091;-7.81206845352426
0.00092;-7.84198828553781
0.00093;-7.87190811755136
0.00094;-7.88686803355813
0.00095;-7.89684131089598
0.00096;-7.89684131089598
0.00097;-7.89185467222706
0.00098;-7.87190811755136
0.00099;-7.85196156287566
0.001;-7.81206845352426
0.00101;-7.77217534417287
0.00102;-7.72230895748362
0.00103;-7.66246929345652
0.00104;-7.59764299076051
0.00105;-7.52284341072664
0.00106;-7.43308391468599
0.00107;-7.34831105731428
0.00108;-7.25356492260471
0.00109;-7.14884551055729
0.0011;-7.04412609850988
0.00111;-6.92444677045569
0.00112;-6.79479416506365
0.00113;-6.66015492100269
0.00114;-6.52551567694172
0.00115;-6.38090315554291
0.00116;-6.23130399547517
0.00117;-6.07173155806959
0.00118;-5.912159120664
0.00119;-5.74261340592057
0.0012;-5.56808105250821
0.00121;-5.38856206042692
0.00122;-5.20904306834564
0.00123;-5.0195507989265
0.00124;-4.83005852950737
0.00125;-4.63059298275039
0.00126;-4.42115415865555
0.00127;-4.22168861189857
0.00128;-4.01224978780374
0.00129;-3.79782432503998
0.0013;-3.58838550094515
0.00131;-3.36897339951247
0.00132;-3.14457465941086
0.00133;-2.92017591930926
0.00134;-2.70076381787658
0.00135;-2.47137843910605
0.00136;-2.24199306033552
0.00137;-2.00762104289606
0.00138;-1.78322230279446
0.00139;-1.54386364668608
0.0014;-1.31447826791555
0.00141;-1.08010625047609
0.00142;-0.850720871705562
0.00143;-0.611362215597182
0.00144;-0.381976836826652
0.00145;-0.147604819387198
0.00146;0.0867671980522573
0.00147;0.316152576822788
0.00148;0.550524594262242
0.00149;0.779909973032772
0.0015;1.00430871313438
0.00151;1.22870745323598
0.00152;1.45310619333759
0.00153;1.66753165610135
0.00154;1.88694375753403
0.00155;2.10136922029778
0.00156;2.31080804439262
0.00157;2.52024686848745
0.00158;2.72469905391335
0.00159;2.92915123933926
0.0016;3.12363014742732
0.00161;3.31312241684645
0.00162;3.50261468626559
0.00163;3.6871203170158
0.00164;3.86663930909708
0.00165;4.04117166250944
0.00166;4.21071737725288
0.00167;4.37527645332739
0.00168;4.5398355294019
0.00169;4.68444805080071
0.0017;4.83903384953737
0.00171;4.97865973226726
0.00172;5.11828561499715
0.00173;5.24793822038919
0.00174;5.3726041871123
0.00175;5.48729687649757
0.00176;5.59700292721391
0.00177;5.70172233926132
0.00178;5.80145511263981
0.00179;5.89121460868046
0.0018;5.9809741047211
0.00181;6.06076032342389
0.00182;6.13057326478884
0.00183;6.19539956748486
0.00184;6.25523923151195
0.00185;6.30011897953227
0.00186;6.34998536622152
0.00187;6.38489183690399
0.00188;6.40982503024861
0.00189;6.43974486226216
0.0019;6.44971813960001
0.00191;6.46467805560678
0.00192;6.45969141693786
0.00193;6.45969141693786
0.00194;6.44473150093108
0.00195;6.42478494625539
0.00196;6.39985175291076
0.00197;6.36494528222829
0.00198;6.32006553420797
0.00199;6.27518578618765
0.002;6.22033276082948
0.00201;6.16049309680238
0.00202;6.09566679410636
0.00203;6.02585385274142
0.00204;5.9410809953697
0.00205;5.85630813799799
0.00206;5.76654864195734
0.00207;5.66681586857885
0.00208;5.56708309520036
0.00209;5.46236368315294
0.0021;5.34268435509875
0.00211;5.22799166571349
0.00212;5.10332569899038
0.00213;4.97367309359834
0.00214;4.8440204882063
0.00215;4.70439460547641
0.00216;4.5597820840776
0.00217;4.42015620134771
0.00218;4.26557040261105
0.00219;4.11597124254331
0.0022;3.95639880513772
0.00221;3.79183972906321
0.00222;3.6272806529887
0.00223;3.46272157691419
0.00224;3.28818922350183
0.00225;3.1186435087584
0.00226;2.94411115534604
0.00227;2.76459216326475
0.00228;2.58507317118347
0.00229;2.40056754043326
0.0023;2.22104854835197
0.00231;2.03155627893284
0.00232;1.84705064818263
0.00233;1.66254501743242
0.00234;1.47305274801329
0.00235;1.28356047859415
0.00236;1.0890815705061
0.00237;0.899589301086962
0.00238;0.710097031667829
0.00239;0.51561812357977
0.0024;0.331112492829561
0.00241;0.136633584741503
0.00242;-0.0528586846776307
0.00243;-0.242350954096764
0.00244;-0.426856584846973
0.00245;-0.611362215597182
0.00246;-0.795867846347392
0.00247;-0.980373477097601
0.00248;-1.15989246917889
0.00249;-1.34439809992909
0.0025;-1.51893045334145
0.00251;-1.69346280675381
0.00252;-1.86300852149725
0.00253;-2.02756759757176
0.00254;-2.1971133123152
0.00255;-2.36167238838971
0.00256;-2.51625818712637
0.00257;-2.67583062453195
0.00258;-2.83041642326862
0.00259;-2.98500222200528
0.0026;-3.12462810473517
0.00261;-3.26924062613398
0.00262;-3.40886650886387
0.00263;-3.53851911425591
0.00264;-3.66817171964794
0.00265;-3.79283768637106
0.00266;-3.90753037575632
0.00267;-4.02720970381051
0.00268;-4.13691575452685
0.00269;-4.24163516657427
0.0027;-4.34635457862169
0.00271;-4.44110071333125
0.00272;-4.53086020937189
0.00273;-4.61563306674361
0.00274;-4.69541928544641
0.00275;-4.77021886548027
0.00276;-4.83504516817629
0.00277;-4.89987147087231
0.00278;-4.95472449623048
0.00279;-5.00957752158865
0.0028;-5.0594439082779
0.00281;-5.09435037896037
0.00282;-5.13424348831177
0.00283;-5.15917668165639
0.00284;-5.17912323633209
0.00285;-5.19906979100779
0.00286;-5.20904306834564
0.00287;-5.21901634568349
0.00288;-5.21402970701456
0.00289;-5.21402970701456
0.0029;-5.20405642967671
0.00291;-5.17912323633209
0.00292;-5.15917668165639
0.00293;-5.13424348831177
0.00294;-5.09435037896037
0.00295;-5.05445726960897
0.00296;-5.01456416025758
0.00297;-4.96469777356833
0.00298;-4.90984474821016
0.00299;-4.84501844551414
0.003;-4.78019214281812
0.00301;-4.7153658401221
0.00302;-4.64056626008823
0.00303;-4.56078004138544
0.00304;-4.47600718401372
0.00305;-4.38624768797308
0.00306;-4.29150155326352
0.00307;-4.19176877988502
0.00308;-4.09203600650653
0.00309;-3.98731659445912
0.0031;-3.87262390507385
0.00311;-3.76291785435751
0.00312;-3.65321180364117
0.00313;-3.53353247558698
0.00314;-3.40886650886387
0.00315;-3.27921390347183
0.00316;-3.14956129807979
0.00317;-3.01990869268775
0.00318;-2.88526944862679
0.00319;-2.75063020456582
0.0032;-2.61100432183594
0.00321;-2.46639180043712
0.00322;-2.32676591770723
0.00323;-2.18215339630842
0.00324;-2.03255423624069
0.00325;-1.88295507617295
0.00326;-1.73335591610521
0.00327;-1.58375675603747
0.00328;-1.43415759596974
0.00329;-1.27458515856415
0.0033;-1.11999935982749
0.00331;-0.970400199759752
